District,Comuni
Amiata,Abbadia San Salvatore
Amiata,Arcidosso
Amiata,Castel del Piano
Amiata,Castell'Azzara
Amiata,Piancastagnaio
Amiata,Roccalbegna
Amiata,Santa Fiora
Amiata,Seggiano
Arca.Pratese,Cantagallo
Arca.Pratese,Carmignano
Arca.Pratese,Montemurlo
Arca.Pratese,Poggio a Caiano
Arca.Pratese,Prato
Arca.Pratese,Vaiano
Arca.Pratese,Vernio
Arezzo,Arezzo
Arezzo,Capolona
Arezzo,Castiglion Fibocchi
Casentino,Bibbiena
Casentino,Castel Focognano
Casentino,Castel San NiccolÌ£å_
Casentino,Chitignano
Casentino,Chiusi della Verna
Casentino,Montemignaio
Casentino,Ortignano Raggiolo
Casentino,Poppi
Casentino,Pratovecchio Stia
Casentino,Subbiano
Casentino,Talla
Chianti,Barberino Val d'Elsa
Chianti,Castellina in Chianti
Chianti,Castelnuovo Berardenga
Chianti,Gaiole in Chianti
Chianti,Greve in Chianti
Chianti,Radda in Chianti
Chianti,San Casciano in Val di Pesa
Chianti,Tavarnelle Val di Pesa
Costa.degli.Etruschi,Bibbona
Costa.degli.Etruschi,Campiglia Marittima
Costa.degli.Etruschi,Casale Marittimo
Costa.degli.Etruschi,Castagneto Carducci
Costa.degli.Etruschi,Castellina Marittima
Costa.degli.Etruschi,Cecina
Costa.degli.Etruschi,Guardistallo
Costa.degli.Etruschi,Montescudaio
Costa.degli.Etruschi,Piombino
Costa.degli.Etruschi,Riparbella
Costa.degli.Etruschi,Rosignano Marittimo
Costa.degli.Etruschi,San Vincenzo
Costa.degli.Etruschi,Santa Luce
Costa.degli.Etruschi,Sassetta
Costa.degli.Etruschi,Suvereto
Elba.e.Isole.di.Toscana,Campo nell'Elba
Elba.e.Isole.di.Toscana,Capoliveri
Elba.e.Isole.di.Toscana,Capraia Isola
Elba.e.Isole.di.Toscana,Isola del Giglio
Elba.e.Isole.di.Toscana,Marciana
Elba.e.Isole.di.Toscana,Marciana Marina
Elba.e.Isole.di.Toscana,Porto Azzurro
Elba.e.Isole.di.Toscana,Portoferraio
Elba.e.Isole.di.Toscana,Rio Nell'Elba
Elba.e.Isole.di.Toscana,Rio Marina
Empolese.Val.d.Elsa.e.Montalbano,Capraia e Limite
Empolese.Val.d.Elsa.e.Montalbano,Castelfiorentino
Empolese.Val.d.Elsa.e.Montalbano,Cerreto Guidi
Empolese.Val.d.Elsa.e.Montalbano,Certaldo
Empolese.Val.d.Elsa.e.Montalbano,Empoli
Empolese.Val.d.Elsa.e.Montalbano,Fucecchio
Empolese.Val.d.Elsa.e.Montalbano,Gambassi Terme
Empolese.Val.d.Elsa.e.Montalbano,Montaione
Empolese.Val.d.Elsa.e.Montalbano,Montelupo Fiorentino
Empolese.Val.d.Elsa.e.Montalbano,Montespertoli
Empolese.Val.d.Elsa.e.Montalbano,Vinci
Firenze.e.Area.Fiorentina,Bagno a Ripoli
Firenze.e.Area.Fiorentina,Calenzano
Firenze.e.Area.Fiorentina,Campi Bisenzio
Firenze.e.Area.Fiorentina,Fiesole
Firenze.e.Area.Fiorentina,Figline e Incisa Valdarno
Firenze.e.Area.Fiorentina,Firenze
Firenze.e.Area.Fiorentina,Impruneta
Firenze.e.Area.Fiorentina,Lastra a Signa
Firenze.e.Area.Fiorentina,Londa
Firenze.e.Area.Fiorentina,Pelago
Firenze.e.Area.Fiorentina,Pontassieve
Firenze.e.Area.Fiorentina,Reggello
Firenze.e.Area.Fiorentina,Rignano sull'Arno
Firenze.e.Area.Fiorentina,Rufina
Firenze.e.Area.Fiorentina,Scandicci
Firenze.e.Area.Fiorentina,Sesto Fiorentino
Firenze.e.Area.Fiorentina,Signa
Firenze.e.Area.Fiorentina,Vaglia
Garfagnana.e.Media.Valle.del.Serchio,Bagni di Lucca
Garfagnana.e.Media.Valle.del.Serchio,Barga
Garfagnana.e.Media.Valle.del.Serchio,Borgo a Mozzano
Garfagnana.e.Media.Valle.del.Serchio,Camporgiano
Garfagnana.e.Media.Valle.del.Serchio,Careggine
Garfagnana.e.Media.Valle.del.Serchio,Castelnuovo di Garfagnana
Garfagnana.e.Media.Valle.del.Serchio,Castiglione di Garfagnana
Garfagnana.e.Media.Valle.del.Serchio,Coreglia Antelminelli
Garfagnana.e.Media.Valle.del.Serchio,Fabbriche di Vergemoli
Garfagnana.e.Media.Valle.del.Serchio,Fosciandora
Garfagnana.e.Media.Valle.del.Serchio,Gallicano
Garfagnana.e.Media.Valle.del.Serchio,Minucciano
Garfagnana.e.Media.Valle.del.Serchio,Molazzana
Garfagnana.e.Media.Valle.del.Serchio,Pescaglia
Garfagnana.e.Media.Valle.del.Serchio,Piazza al Serchio
Garfagnana.e.Media.Valle.del.Serchio,Pieve Fosciana
Garfagnana.e.Media.Valle.del.Serchio,San Romano in Garfagnana
Garfagnana.e.Media.Valle.del.Serchio,Sillano Giuncugnano
Garfagnana.e.Media.Valle.del.Serchio,Vagli Sotto
Garfagnana.e.Media.Valle.del.Serchio,Villa Collemandina
Livorno,Capraia Isola
Livorno,Collesalvetti
Livorno,Livorno
Lunigiana,Aulla
Lunigiana,Bagnone
Lunigiana,Casola in Lunigiana
Lunigiana,Comano
Lunigiana,Filattiera
Lunigiana,Fivizzano
Lunigiana,Fosdinovo
Lunigiana,Licciana Nardi
Lunigiana,Mulazzo
Lunigiana,Podenzana
Lunigiana,Pontremoli
Lunigiana,Tresana
Lunigiana,Villafranca in Lunigiana
Lunigiana,Zeri
Maremma.Toscana.Area.Sud,Campagnatico
Maremma.Toscana.Area.Sud,Capalbio
Maremma.Toscana.Area.Sud,Cinigiano
Maremma.Toscana.Area.Sud,Civitella Paganico
Maremma.Toscana.Area.Sud,Grosseto
Maremma.Toscana.Area.Sud,Isola del Giglio
Maremma.Toscana.Area.Sud,Magliano in Toscana
Maremma.Toscana.Area.Sud,Manciano
Maremma.Toscana.Area.Sud,Monte Argentario
Maremma.Toscana.Area.Sud,Orbetello
Maremma.Toscana.Area.Sud,Pitigliano
Maremma.Toscana.Area.Sud,Scansano
Maremma.Toscana.Area.Sud,Semproniano
Maremma.Toscana.Area.Sud,Sorano
Maremma.Toscana.Area.Nord,Castiglione della Pescaia
Maremma.Toscana.Area.Nord,Follonica
Maremma.Toscana.Area.Nord,Gavorrano
Maremma.Toscana.Area.Nord,Massa Marittima
Maremma.Toscana.Area.Nord,Monterotondo Marittimo
Maremma.Toscana.Area.Nord,Montieri
Maremma.Toscana.Area.Nord,Roccastrada
Maremma.Toscana.Area.Nord,Scarlino
Mugello,Barberino di Mugello
Mugello,Borgo San Lorenzo
Mugello,Dicomano
Mugello,Firenzuola
Mugello,Marradi
Mugello,Palazzuolo sul Senio
Mugello,San Godenzo
Mugello,Scarperia e San Piero
Mugello,Vicchio
Piana.di.Lucca,Altopascio
Piana.di.Lucca,Capannori
Piana.di.Lucca,Lucca
Piana.di.Lucca,Montecarlo
Piana.di.Lucca,Porcari
Piana.di.Lucca,Villa Basilica
Pistoia.e.Montagna.Pistoiese,Abetone
Pistoia.e.Montagna.Pistoiese,Agliana
Pistoia.e.Montagna.Pistoiese,Marliana
Pistoia.e.Montagna.Pistoiese,Montale
Pistoia.e.Montagna.Pistoiese,Pistoia
Pistoia.e.Montagna.Pistoiese,Quarrata
Pistoia.e.Montagna.Pistoiese,Sambuca Pistoiese
Pistoia.e.Montagna.Pistoiese,San Marcello Pistoiese
Pistoia.e.Montagna.Pistoiese,Serravalle Pistoiese
Pistoia.e.Montagna.Pistoiese,Cutigliano
