,locations_list,trip_len
120588,"['02fa12dfb03dc748e21ba81cb6caba66ea51c81a66f210db986bd8c9c865d1db', '9ea0a17ae2cd7b511ece9af56abab20838ef9fed2843ef106c2410fd237bdd50', '24001223e9571c1a615ec480b63cdd9a4948dccdd76755e4844295e99c0750e3', '9961a68e5cea1ff033a2684b666c987bea355bcbb2019575dbb4f448d6a34bca', '24001223e9571c1a615ec480b63cdd9a4948dccdd76755e4844295e99c0750e3', '99d0010069f891f6d43b31c63db1e6650eb0a98039363d58a74c13f0bc0dacb2', 'af0d3cdb98f198dd2c176b5781c08f3135f2c26fb76628ce8d559de4d6c7dbd5', '99d0010069f891f6d43b31c63db1e6650eb0a98039363d58a74c13f0bc0dacb2', 'b98ee8669a57be8fd683d10235a884f8c65b2e5bde5157c0b45d7ab825f11de0', '24798f32b5baf96126490a95580b44331f1a6629e3c702003c03fe5cbf29a5ce', '24001223e9571c1a615ec480b63cdd9a4948dccdd76755e4844295e99c0750e3', '9961a68e5cea1ff033a2684b666c987bea355bcbb2019575dbb4f448d6a34bca', '238037d34c5b0d2a01249040df2098f5ec10abc422cdefddf80e23108edab58a', '238037d34c5b0d2a01249040df2098f5ec10abc422cdefddf80e23108edab58a', '24001223e9571c1a615ec480b63cdd9a4948dccdd76755e4844295e99c0750e3', '9961a68e5cea1ff033a2684b666c987bea355bcbb2019575dbb4f448d6a34bca', '24001223e9571c1a615ec480b63cdd9a4948dccdd76755e4844295e99c0750e3', '238037d34c5b0d2a01249040df2098f5ec10abc422cdefddf80e23108edab58a', 'af0d3cdb98f198dd2c176b5781c08f3135f2c26fb76628ce8d559de4d6c7dbd5', '94ca265fee8a57b45f657de0a2d09ca75d64b43cfcfdb4d8eed253df2c97b6bb', '24001223e9571c1a615ec480b63cdd9a4948dccdd76755e4844295e99c0750e3', '238037d34c5b0d2a01249040df2098f5ec10abc422cdefddf80e23108edab58a', '60294d86553bc3e15795b233ac3402f7ca91b7562c883d68e410dc147796b357', '24001223e9571c1a615ec480b63cdd9a4948dccdd76755e4844295e99c0750e3', '238037d34c5b0d2a01249040df2098f5ec10abc422cdefddf80e23108edab58a', 'b39c7034454e0815eb8b0b3587e5dbd7ef5dfbe3a595845e0d054a37d587aa6c']",5f9c4ab08cac7457e9111a30e4664920607ea2c115a1433d7be98e97e64244ca
59147,"['a764f2ce24df741df79eb20ca0c81a9b81f48a0494050146c0f6569ecf26749a', '9615c826c2cc2dc9130350d1e86f37d1e7167c4b1482d3baa013cac27d864b30', '1cae76d372e29a0c1e4971cfd2b78204d84fa567639151c81fab6b557c5a4335', 'aad2516ec373b2230918eaf1a4b2fc74b1ef7eee5aaabbb6654692d021ce6bc8', 'ae7d941dd21b212f1ff9ae379844185e18e032edf5beed7fbf4ec6b57fe1daa1', 'c08df3cc6b7c33d922f669af98072eb211dbc6f9c54fdf61aa82c9a8b4a3bb61', 'c55d120bca9aec7e3ed88d38e6c4ee45a3c4ff236c8f077944496936d9523958', '5c1f9a36a76360acdb86b6859da42f3ea7abe57ba5f5d836066039885f619924', '2eb27f66780eca2e7fdb256a07d9c346af91cc191b005c4e4de5322f892ef6d8', 'b83e778f78aab4fd037a88d32cb8852236e9450ce9b1228e9196cfb7b8b500d9', '6de743491216ae916edb6a9790e91ba531616a49c4dae70b532f7b998ad832be', '8a8780e686116908d96bd26698c25af726d2eaba3beaa8d0a612c9d264b8dbc1']",6b51d431df5d7f141cbececcf79edf3dd861c3b4069f0b11661a3eefacbba918
302300,"['99d0010069f891f6d43b31c63db1e6650eb0a98039363d58a74c13f0bc0dacb2', 'cf488acc4d95a725831a0162ff06023768b3dd2774ebecc78158fb3ccc87b64c']",d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35
333787,"['f13cc69e4d69c1458d3aa81a296394d288b91f4a858664560b373f1e2ed3db60', '6642a52e0508bd87e24cbb308289d7d2d26b923cd1f4f9223ed60cf1efcf7885', '41964098bedf63493c80cb7b62753c3f6917f0e3e59ec58c8c9987db5fbb0dd3', 'f13cc69e4d69c1458d3aa81a296394d288b91f4a858664560b373f1e2ed3db60', '5c1f9a36a76360acdb86b6859da42f3ea7abe57ba5f5d836066039885f619924', '8a8780e686116908d96bd26698c25af726d2eaba3beaa8d0a612c9d264b8dbc1', '41964098bedf63493c80cb7b62753c3f6917f0e3e59ec58c8c9987db5fbb0dd3', 'f13cc69e4d69c1458d3aa81a296394d288b91f4a858664560b373f1e2ed3db60', '00a5c509376cfb98a2a93c02ae0eb5df065bf02be156a7ccc6c5ea6a3487f390', '6642a52e0508bd87e24cbb308289d7d2d26b923cd1f4f9223ed60cf1efcf7885', 'f13cc69e4d69c1458d3aa81a296394d288b91f4a858664560b373f1e2ed3db60']",4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8
153870,"['b993c8014a9a736ee31cb4d3369778bed3c20b1e72bb27e5ebe4f9b68afd418b', 'b0ff03e66c9aa47c7753085c248f526afd92b6914c386e0a4148839f23f5d4af', 'de792c950874e5725180d7eb1222504d46be42195b9786d1f7696834d3103dd0']",4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce
321947,"['dd98003b782424aede3e1427a82c2f3d1e77b825123fcf62e398758ce2a0ee74', '063dca206ee18d24e21b048f1383b2baa08e4428b5ef92aa625b6f12830e7f62', 'f3e0a5976e99b4c72ddbb0d32422a26db284114b0d827443163bb399ff956acf', 'd6d7420b647dce3969fa40fd97ec94f5bd36e1498945877674a402184020fcef']",4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a
344144,"['02fa12dfb03dc748e21ba81cb6caba66ea51c81a66f210db986bd8c9c865d1db', '80330073182669dbe05d018ab8216d2ca9e38dc0ce80c7d8d3d96997339b9bde', '5d35b3efa778fede79c5c2af6a524d0a1eb61da0f4e08e6bae8be53fe7986a4f', '17214e2d30ebb0eafe4b8866d63e3431e7258a23bbbc214cd92ddc72e114ba42', '1129055a09e8f90dd3136dced0f958fca46bccf111fea0923492c185230c7c82']",ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d
173407,"['cacb5ef2024d717587f4588eeb585b6f4ba5695d36555aa16d8e5771f2f08f87', '6bb511b8cdad286bd9725a997b8ac0752a8676d61655fdb2caaf29089b5bb780', '99e9207ddcfbab790ec1a2f2f6ed35189d8760677cf656e49ac7f2735dc75413', 'b9458cb8dcfa25f89a73be7c3447e177bf31cc9789e65c0c54555991de9c3924', 'ae1446357c3c772d6fabb6155536c94d1aacc8d0d5bd85fe81320cde8c3554e1', '0847123ae5dc0b77180e509ef26ae4b5a513254da5215c90fc908d9dfc9b457c', 'aad2516ec373b2230918eaf1a4b2fc74b1ef7eee5aaabbb6654692d021ce6bc8']",7902699be42c8a8e46fbbb4501726517e86b22c56a189f7625a6da49081b2451
142339,"['2bfe9000091b7682db9efc179d8d30f49fa75e3fb016c885547f140dfa8dcc56', '2bfe9000091b7682db9efc179d8d30f49fa75e3fb016c885547f140dfa8dcc56', 'a40b41752b5b02fabc44d7221273ce8d075f8efe72bfab43e6726d6ed2e9fabc', '2bfe9000091b7682db9efc179d8d30f49fa75e3fb016c885547f140dfa8dcc56', 'a40b41752b5b02fabc44d7221273ce8d075f8efe72bfab43e6726d6ed2e9fabc', '2bfe9000091b7682db9efc179d8d30f49fa75e3fb016c885547f140dfa8dcc56', 'a40b41752b5b02fabc44d7221273ce8d075f8efe72bfab43e6726d6ed2e9fabc', '2bfe9000091b7682db9efc179d8d30f49fa75e3fb016c885547f140dfa8dcc56', 'a40b41752b5b02fabc44d7221273ce8d075f8efe72bfab43e6726d6ed2e9fabc', '2e156da253a8350c56ccad0375194522013cf652e19b5a0e90d538a892f5747d', '2e156da253a8350c56ccad0375194522013cf652e19b5a0e90d538a892f5747d', 'a40b41752b5b02fabc44d7221273ce8d075f8efe72bfab43e6726d6ed2e9fabc', '2bfe9000091b7682db9efc179d8d30f49fa75e3fb016c885547f140dfa8dcc56', '2bfe9000091b7682db9efc179d8d30f49fa75e3fb016c885547f140dfa8dcc56', 'a40b41752b5b02fabc44d7221273ce8d075f8efe72bfab43e6726d6ed2e9fabc', '2bfe9000091b7682db9efc179d8d30f49fa75e3fb016c885547f140dfa8dcc56', '075cb24bb03882261cb8619a11e97cc3840a4d7ba6a507fe4f75bd5a9fecc7dc', '24aa7da74f77bd3fa888328daa144b9db46536f512a7bb86c94d62742a0c60aa', '8a8780e686116908d96bd26698c25af726d2eaba3beaa8d0a612c9d264b8dbc1', 'a40b41752b5b02fabc44d7221273ce8d075f8efe72bfab43e6726d6ed2e9fabc', '2bfe9000091b7682db9efc179d8d30f49fa75e3fb016c885547f140dfa8dcc56', '540eb38895134913f2800165d7cf4fdcfe07dc8c52283eea184fc0ad18b193b6', '2bfe9000091b7682db9efc179d8d30f49fa75e3fb016c885547f140dfa8dcc56', '1029ce6ad6295272d49034c4c23aecb9a814714a6f682bded817587527d8cc84', '5c1f9a36a76360acdb86b6859da42f3ea7abe57ba5f5d836066039885f619924', '2bfe9000091b7682db9efc179d8d30f49fa75e3fb016c885547f140dfa8dcc56', 'a40b41752b5b02fabc44d7221273ce8d075f8efe72bfab43e6726d6ed2e9fabc', '2bfe9000091b7682db9efc179d8d30f49fa75e3fb016c885547f140dfa8dcc56', '2bfe9000091b7682db9efc179d8d30f49fa75e3fb016c885547f140dfa8dcc56', '8c5ea235f6491d5afa5ec8619dacb3e0079c59e3398c18ef32131a8b7fe7f8ab']",624b60c58c9d8bfb6ff1886c2fd605d2adeb6ea4da576068201b6c6958ce93f4
246214,"['abcb3b74c1c381f13d4c6f007d00cd6714e9f5df45278cc3f6a3cd9e09c328b1', '50c7649876825c7621086256b81f35b85ae19a888d55b0aca6189f30458925d6', '94ba8f2fef2a583869f6cae00f130b21d24c47e04043a5118ca87d526f0eb417', 'b85dfd48cccefa7b666850ac44060e3dd33809d35c255d62a2a8588787df5c20', '94ba8f2fef2a583869f6cae00f130b21d24c47e04043a5118ca87d526f0eb417', 'eba69147dc8b42a23ee121338903d6f47678e877ef8011435b48a275f4c8ceb8', '94ba8f2fef2a583869f6cae00f130b21d24c47e04043a5118ca87d526f0eb417', '2e156da253a8350c56ccad0375194522013cf652e19b5a0e90d538a892f5747d', '957799cfd9a6c92a0cdba12e8567a88b21d474f90dad3b0a469f5b8d3ff2c1e9', 'd419597ae5fe3e284082df1a23c5e58a101010c99f8b615075fa8af1e24af8b0', '94ba8f2fef2a583869f6cae00f130b21d24c47e04043a5118ca87d526f0eb417', '8c3448791423b4d9662be7053e03dac2f21a7e011d0cfd1f2f86014697350c51', 'eba69147dc8b42a23ee121338903d6f47678e877ef8011435b48a275f4c8ceb8', '94ba8f2fef2a583869f6cae00f130b21d24c47e04043a5118ca87d526f0eb417', 'eba69147dc8b42a23ee121338903d6f47678e877ef8011435b48a275f4c8ceb8', '8c3448791423b4d9662be7053e03dac2f21a7e011d0cfd1f2f86014697350c51', '94ba8f2fef2a583869f6cae00f130b21d24c47e04043a5118ca87d526f0eb417']",4523540f1504cd17100c4835e85b7eefd49911580f8efff0599a8f283be6b9e3
