"customer_nr","cluster","medoids"
"1063611",1,1
"5362814",1,0
"887679",1,0
"7003472",1,0
"1744365",1,0
"6128337",1,0
"1207718",1,0
"6353417",1,0
"5836702",1,0
"7570777",1,0
"7293940",1,0
"1260443",1,0
"6121329",1,0
"509136",1,0
"5602324",1,0
"2382660",1,0
"5496665",1,0
"1401116",1,0
"1611844",1,0
"5595810",1,0
"5716804",1,0
"5930239",1,0
"917595",1,0
"5309246",1,0
"1533539",1,0
"6697305",1,0
"7565852",1,0
"5361758",1,0
"5733264",1,0
"1023234",1,0
"5409423",1,0
"6776047",1,0
"647319",1,0
"2445275",1,0
"5396854",1,0
"1094090",1,0
"757536",1,0
"5516547",1,0
"6245095",1,0
"1068291",1,0
"7241335",1,0
"6721145",1,0
"1115877",1,0
"7402449",1,0
"7348466",1,0
"6787568",1,0
"5751149",1,0
"5737395",1,0
"1447256",1,0
"1609607",1,0
"7286127",1,0
"2241142",1,0
"1202846",1,0
"5541257",1,0
"5801762",1,0
"6280056",1,0
"1849300",1,0
"1538013",1,0
"1138431",1,0
"5907958",1,0
"5925351",1,0
"754908",1,0
"5592845",1,0
"920555",1,0
"6078762",1,0
"862366",1,0
"1026482",1,0
"5719098",1,0
"7101501",1,0
"1145511",1,0
"651716",1,0
"6046720",1,0
"5483605",1,0
"459143",1,0
"952073",1,0
"6689500",1,0
"6107567",1,0
"5491165",1,0
"5432170",1,0
"1159720",1,0
"6825631",1,0
"5649110",1,0
"1415556",1,0
"2146656",1,0
"1573845",1,0
"6226094",1,0
"5268502",1,0
"5533227",1,0
"632542",1,0
"6070549",1,0
"1929989",1,0
"6461211",1,0
"1805612",1,0
"5794945",1,0
"731671",1,0
"1407716",1,0
"1109128",1,0
"5547437",1,0
"518635",1,0
"7209971",1,0
"5931277",1,0
"5775045",1,0
"676833",1,0
"5896842",1,0
"2182936",1,0
"1697761",1,0
"5379432",1,0
"1070908",1,0
"2483179",1,0
"5550875",1,0
"5366023",1,0
"850131",1,0
"5537578",1,0
"6132054",1,0
"5393849",1,0
"1122587",1,0
"1582119",1,0
"980382",1,0
"1318110",1,0
"6233555",1,0
"603861",1,0
"2557464",1,0
"2365364",1,0
"1060278",1,0
"5772646",1,0
"5676279",1,0
"1025758",1,0
"1797960",1,0
"2226682",1,0
"7115117",1,0
"2576983",1,0
"1332099",1,0
"2533476",1,0
"2269178",1,0
"595018",1,0
"5421222",1,0
"1453674",1,0
"7015541",1,0
"1798018",1,0
"6112590",1,0
"5543565",1,0
"6711825",1,0
"2053684",1,0
"6970611",1,0
"1575416",1,0
"5446277",1,0
"584293",1,0
"6723138",1,0
"1090189",1,0
"5305985",1,0
"1823474",1,0
"6381820",1,0
"7246433",1,0
"5488784",1,0
"2235519",1,0
"6616763",1,0
"1267086",1,0
"6928037",1,0
"731918",1,0
"1286307",1,0
"1147465",1,0
"1277822",1,0
"474264",1,0
"2305412",1,0
"5707707",1,0
"629962",1,0
"6254796",1,0
"7634390",1,0
"501103",1,0
"5695762",1,0
"6783654",1,0
"5859095",1,0
"952831",1,0
"6530162",1,0
"5707478",1,0
"1903225",1,0
"5787031",1,0
"6148594",1,0
"564728",1,0
"1234664",1,0
"7652131",1,0
"5471864",1,0
"995794",1,0
"6962897",1,0
"781757",1,0
"5383027",1,0
"6960891",1,0
"1140429",1,0
"6173543",1,0
"939004",1,0
"5507201",1,0
"2294174",1,0
"7219632",1,0
"1625681",1,0
"1124081",1,0
"6705168",1,0
"1080992",1,0
"7480699",1,0
"1010591",1,0
"5719012",1,0
"6573256",1,0
"1481876",1,0
"6053411",1,0
"5315505",1,0
"2028593",1,0
"1237836",1,0
"5689109",1,0
"5339160",1,0
"2245578",1,0
"5319572",1,0
"1977759",1,0
"909585",1,0
"1931828",1,0
"5812412",1,0
"5828231",1,0
"1198083",1,0
"7581855",1,0
"5724298",1,0
"688826",1,0
"1307834",1,0
"1815590",1,0
"5567589",1,0
"6140118",1,0
"858074",1,0
"7028575",1,0
"586825",1,0
"1617295",1,0
"7043838",1,0
"2207319",1,0
"1284118",1,0
"2056789",1,0
"5606443",1,0
"2353419",1,0
"5723734",1,0
"1716443",1,0
"5453911",1,0
"1055673",1,0
"6107886",1,0
"778889",1,0
"5871364",1,0
"6455160",1,0
"2309803",1,0
"808447",1,0
"5667709",1,0
"7270769",1,0
"6487181",1,0
"6260296",1,0
"2031886",1,0
"645522",1,0
"5736102",1,0
"1289321",1,0
"5578554",1,0
"6076352",1,0
"860772",1,0
"1311579",1,0
"1450396",1,0
"981040",1,0
"7210478",1,0
"5476731",1,0
"2379043",1,0
"690385",1,0
"635167",1,0
"5378709",1,0
"5551399",1,0
"1331726",1,0
"2513269",1,0
"6207052",1,0
"1704028",1,0
"948360",1,0
"1353475",1,0
"5466992",1,0
"5249939",1,0
"6859882",1,0
"1059738",1,0
"1282448",1,0
"7318475",1,0
"830964",1,0
"1849577",1,0
"7574277",1,0
"1640664",1,0
"773541",1,0
"5535137",1,0
"5824210",1,0
"5704096",1,0
"5810327",1,0
"5908469",1,0
"5679010",1,0
"2152497",1,0
"987048",1,0
"5369134",1,0
"7395618",1,0
"7288810",1,0
"1217734",1,0
"992980",1,0
"589965",1,0
"6670325",1,0
"5660586",1,0
"7399174",1,0
"1475788",1,0
"6147100",1,0
"1100133",1,0
"7257981",1,0
"1416346",1,0
"957375",1,0
"6053972",1,0
"1411183",1,0
"6179058",1,0
"5720528",1,0
"5574059",1,0
"6779999",1,0
"980902",1,0
"6873132",1,0
"813183",1,0
"7276319",1,0
"5918976",1,0
"514158",1,0
"1051249",1,0
"1091364",1,0
"624072",1,0
"993708",1,0
"1249487",1,0
"5487172",1,0
"5916556",1,0
"1488702",1,0
"6017779",1,0
"1352709",1,0
"1619551",1,0
"5527085",1,0
"1289920",1,0
"6986327",1,0
"2256302",1,0
"5855876",1,0
"1592231",1,0
"2406274",1,0
"6823940",1,0
"6345337",1,0
"801469",1,0
"6150418",1,0
"6567348",1,0
"411817",1,0
"492730",1,0
"840445",1,0
"5710810",1,0
"6961296",1,0
"2510606",1,0
"5688229",1,0
"5514326",1,0
"6184829",1,0
"552704",1,0
"955989",1,0
"1274492",1,0
"788778",1,0
"2489660",1,0
"5761712",1,0
"1170746",1,0
"922853",1,0
"1503952",1,0
"6651624",1,0
"5681390",1,0
"568507",1,0
"2482270",1,0
"710848",1,0
"5874671",1,0
"6069727",1,0
"5307236",1,0
"5839929",1,0
"7291051",1,0
"5794695",1,0
"5419622",1,0
"890574",1,0
"966108",1,0
"1320460",1,0
"6128845",1,0
"741097",1,0
"6471393",1,0
"6727651",1,0
"6184457",1,0
"7141365",1,0
"748899",1,0
"6464726",1,0
"1093773",1,0
"2377768",1,0
"2025805",1,0
"5310130",1,0
"6038470",1,0
"6921837",1,0
"2507491",1,0
"1181309",1,0
"2542441",1,0
"5853354",1,0
"5665643",1,0
"599765",1,0
"2157946",1,0
"5979728",1,0
"7580668",1,0
"1046654",1,0
"6467787",1,0
"1294306",1,0
"6083463",1,0
"5291219",1,0
"6630558",1,0
"5486174",1,0
"6504302",1,0
"1272026",1,0
"5686888",1,0
"6107420",1,0
"5758098",1,0
"703449",1,0
"768866",1,0
"6125874",1,0
"2393075",1,0
"815007",1,0
"5563691",1,0
"1732101",1,0
"858592",1,0
"556060",1,0
"1617896",1,0
"1527752",1,0
"5776522",1,0
"6516801",1,0
"1957086",1,0
"2549497",1,0
"6940978",1,0
"5935950",1,0
"5669650",1,0
"6497428",1,0
"648655",1,0
"1044471",1,0
"1289478",1,0
"1310044",1,0
"1302348",1,0
"562346",1,0
"1138920",1,0
"554902",1,0
"7240067",1,0
"1170093",1,0
"6811483",1,0
"1329482",1,0
"2290548",1,0
"5751903",1,0
"2286688",1,0
"1165575",1,0
"2541738",1,0
"7317472",1,0
"2488726",1,0
"6296890",1,0
"5295734",1,0
"1744081",1,0
"5766534",1,0
"459587",1,0
"6132662",1,0
"1885350",1,0
"5485764",1,0
"5373354",1,0
"2222788",1,0
"1194999",1,0
"1046094",1,0
"2217365",1,0
"5719921",1,0
"5315471",1,0
"5675039",1,0
"6087412",1,0
"1332934",1,0
"6490684",1,0
"1569814",1,0
"1429419",1,0
"6525483",1,0
"5648806",1,0
"2524477",1,0
"625805",1,0
"6184505",1,0
"5331509",1,0
"6949034",1,0
"6109578",1,0
"1036964",1,0
"6851078",1,0
"5667222",1,0
"5780528",1,0
"5954282",1,0
"5570805",1,0
"1117903",1,0
"2025332",1,0
"1279828",1,0
"870455",1,0
"6432167",1,0
"1282950",1,0
"5937923",1,0
"5523252",1,0
